CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;14;6;1:37.878;;;136.1;
Am;2;2;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;15;3;1:38.034;+0.156;+0.156;135.9;
Am;3;3;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;16;10;1:38.188;+0.310;+0.154;135.7;
Am;4;4;47;TechSport;Toyota GR86;Parker DeLong;17;7;1:38.416;+0.538;+0.228;135.4;
Am;5;5;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;17;10;1:38.520;+0.642;+0.104;135.3;
Am;6;6;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;17;4;1:38.523;+0.645;+0.003;135.3;
Am;7;7;98;TechSport;Toyota GR86;Max Schweid;17;4;1:38.553;+0.675;+0.030;135.2;
Am;8;8;72;TechSport;Toyota GR86;Ethan Goulart;15;14;1:38.666;+0.788;+0.113;135.1;
Am;9;9;21;Copeland Motorsports;Toyota GR86;Ford Koch;17;6;1:38.815;+0.937;+0.149;134.9;
Am;10;10;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;15;7;1:38.821;+0.943;+0.006;134.8;
Am;11;11;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;18;3;1:38.948;+1.070;+0.127;134.7;
Am;12;12;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;18;5;1:39.051;+1.173;+0.103;134.5;
Am;13;13;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;15;10;1:39.070;+1.192;+0.019;134.5;
Am;14;14;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;16;4;1:39.181;+1.303;+0.111;134.4;
Am;15;15;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;17;2;1:39.261;+1.383;+0.080;134.2;
Am;16;16;51;BSI Racing;Toyota GR86;Massimo Sunseri;18;3;1:39.331;+1.453;+0.070;134.2;
Am;17;17;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;18;6;1:39.756;+1.878;+0.425;133.6;
Am;18;18;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;17;16;1:39.767;+1.889;+0.011;133.6;
Am;19;19;03;Precision Racing LA;Toyota GR86;Karl Forman;18;11;1:40.006;+2.128;+0.239;133.2;
Am;20;20;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;18;9;1:40.159;+2.281;+0.153;133.0;
Am;21;21;58;Copeland Motorsports;Toyota GR86;Liam Harrison;17;5;1:40.868;+2.990;+0.709;132.1;
Am;22;22;18;Precision Racing LA;Toyota GR86;Rutledge Wood;18;18;1:41.970;+4.092;+1.102;130.7;
